"","Gender","Age_Group","Race_or_Ethnicity","Education","SBP","BMI","Smoker","background_n"
"1","Male","40-59","NH White","<HSG","SBP<120","Underweight","Smoke",0
"2","Female","40-59","NH White","<HSG","SBP<120","Underweight","Smoke",0
"3","Male","59+","NH White","<HSG","SBP<120","Underweight","Smoke",0
"4","Female","59+","NH White","<HSG","SBP<120","Underweight","Smoke",0
"5","Male","40-59","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"6","Female","40-59","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"7","Male","59+","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"8","Female","59+","NH Black","<HSG","SBP<120","Underweight","Smoke",0
"9","Male","40-59","NH Asian","<HSG","SBP<120","Underweight","Smoke",0
"10","Female","40-59","NH Asian","<HSG","SBP<120","Underweight","Smoke",0
"11","Male","59+","NH Asian","<HSG","SBP<120","Underweight","Smoke",0
"12","Female","59+","NH Asian","<HSG","SBP<120","Underweight","Smoke",0
"13","Male","40-59","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"14","Female","40-59","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"15","Male","59+","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"16","Female","59+","Hispanic","<HSG","SBP<120","Underweight","Smoke",0
"17","Male","40-59","Other","<HSG","SBP<120","Underweight","Smoke",0
"18","Female","40-59","Other","<HSG","SBP<120","Underweight","Smoke",0
"19","Male","59+","Other","<HSG","SBP<120","Underweight","Smoke",33473
"20","Female","59+","Other","<HSG","SBP<120","Underweight","Smoke",0
"21","Male","40-59","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"22","Female","40-59","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"23","Male","59+","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"24","Female","59+","NH White","HSG/GED","SBP<120","Underweight","Smoke",0
"25","Male","40-59","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"26","Female","40-59","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"27","Male","59+","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"28","Female","59+","NH Black","HSG/GED","SBP<120","Underweight","Smoke",0
"29","Male","40-59","NH Asian","HSG/GED","SBP<120","Underweight","Smoke",0
"30","Female","40-59","NH Asian","HSG/GED","SBP<120","Underweight","Smoke",0
"31","Male","59+","NH Asian","HSG/GED","SBP<120","Underweight","Smoke",0
"32","Female","59+","NH Asian","HSG/GED","SBP<120","Underweight","Smoke",0
"33","Male","40-59","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"34","Female","40-59","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"35","Male","59+","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"36","Female","59+","Hispanic","HSG/GED","SBP<120","Underweight","Smoke",0
"37","Male","40-59","Other","HSG/GED","SBP<120","Underweight","Smoke",0
"38","Female","40-59","Other","HSG/GED","SBP<120","Underweight","Smoke",0
"39","Male","59+","Other","HSG/GED","SBP<120","Underweight","Smoke",0
"40","Female","59+","Other","HSG/GED","SBP<120","Underweight","Smoke",0
"41","Male","40-59","NH White","Some college/TS","SBP<120","Underweight","Smoke",0
"42","Female","40-59","NH White","Some college/TS","SBP<120","Underweight","Smoke",0
"43","Male","59+","NH White","Some college/TS","SBP<120","Underweight","Smoke",0
"44","Female","59+","NH White","Some college/TS","SBP<120","Underweight","Smoke",0
"45","Male","40-59","NH Black","Some college/TS","SBP<120","Underweight","Smoke",0
"46","Female","40-59","NH Black","Some college/TS","SBP<120","Underweight","Smoke",0
"47","Male","59+","NH Black","Some college/TS","SBP<120","Underweight","Smoke",0
"48","Female","59+","NH Black","Some college/TS","SBP<120","Underweight","Smoke",0
"49","Male","40-59","NH Asian","Some college/TS","SBP<120","Underweight","Smoke",0
"50","Female","40-59","NH Asian","Some college/TS","SBP<120","Underweight","Smoke",0
"51","Male","59+","NH Asian","Some college/TS","SBP<120","Underweight","Smoke",0
"52","Female","59+","NH Asian","Some college/TS","SBP<120","Underweight","Smoke",0
"53","Male","40-59","Hispanic","Some college/TS","SBP<120","Underweight","Smoke",0
"54","Female","40-59","Hispanic","Some college/TS","SBP<120","Underweight","Smoke",0
"55","Male","59+","Hispanic","Some college/TS","SBP<120","Underweight","Smoke",0
"56","Female","59+","Hispanic","Some college/TS","SBP<120","Underweight","Smoke",0
"57","Male","40-59","Other","Some college/TS","SBP<120","Underweight","Smoke",0
"58","Female","40-59","Other","Some college/TS","SBP<120","Underweight","Smoke",0
"59","Male","59+","Other","Some college/TS","SBP<120","Underweight","Smoke",0
"60","Female","59+","Other","Some college/TS","SBP<120","Underweight","Smoke",0
"61","Male","40-59","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"62","Female","40-59","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"63","Male","59+","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"64","Female","59+","NH White",">=College grad","SBP<120","Underweight","Smoke",0
"65","Male","40-59","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"66","Female","40-59","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"67","Male","59+","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"68","Female","59+","NH Black",">=College grad","SBP<120","Underweight","Smoke",0
"69","Male","40-59","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"70","Female","40-59","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"71","Male","59+","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"72","Female","59+","NH Asian",">=College grad","SBP<120","Underweight","Smoke",0
"73","Male","40-59","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"74","Female","40-59","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"75","Male","59+","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"76","Female","59+","Hispanic",">=College grad","SBP<120","Underweight","Smoke",0
"77","Male","40-59","Other",">=College grad","SBP<120","Underweight","Smoke",0
"78","Female","40-59","Other",">=College grad","SBP<120","Underweight","Smoke",0
"79","Male","59+","Other",">=College grad","SBP<120","Underweight","Smoke",0
"80","Female","59+","Other",">=College grad","SBP<120","Underweight","Smoke",0
"81","Male","40-59","NH White",NA,"SBP<120","Underweight","Smoke",0
"82","Female","40-59","NH White",NA,"SBP<120","Underweight","Smoke",0
"83","Male","59+","NH White",NA,"SBP<120","Underweight","Smoke",0
"84","Female","59+","NH White",NA,"SBP<120","Underweight","Smoke",0
"85","Male","40-59","NH Black",NA,"SBP<120","Underweight","Smoke",0
"86","Female","40-59","NH Black",NA,"SBP<120","Underweight","Smoke",0
"87","Male","59+","NH Black",NA,"SBP<120","Underweight","Smoke",0
"88","Female","59+","NH Black",NA,"SBP<120","Underweight","Smoke",0
"89","Male","40-59","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"90","Female","40-59","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"91","Male","59+","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"92","Female","59+","NH Asian",NA,"SBP<120","Underweight","Smoke",0
"93","Male","40-59","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"94","Female","40-59","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"95","Male","59+","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"96","Female","59+","Hispanic",NA,"SBP<120","Underweight","Smoke",0
"97","Male","40-59","Other",NA,"SBP<120","Underweight","Smoke",0
"98","Female","40-59","Other",NA,"SBP<120","Underweight","Smoke",0
"99","Male","59+","Other",NA,"SBP<120","Underweight","Smoke",0
"100","Female","59+","Other",NA,"SBP<120","Underweight","Smoke",0
"101","Male","40-59","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"102","Female","40-59","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"103","Male","59+","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"104","Female","59+","NH White","<HSG","SBP 120-129","Underweight","Smoke",0
"105","Male","40-59","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"106","Female","40-59","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"107","Male","59+","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"108","Female","59+","NH Black","<HSG","SBP 120-129","Underweight","Smoke",0
"109","Male","40-59","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"110","Female","40-59","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"111","Male","59+","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"112","Female","59+","NH Asian","<HSG","SBP 120-129","Underweight","Smoke",0
"113","Male","40-59","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"114","Female","40-59","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"115","Male","59+","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
"116","Female","59+","Hispanic","<HSG","SBP 120-129","Underweight","Smoke",0
